roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,seed,model,class_weight,calibration,scope,method,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction
,,,,,,,,,course_1,42,logistic,balanced,none,full,EIQ-batch,0.9,0.8942857142857142,0.005714285714285783,1.6633333333333333,0.33666666666666667,0.6633333333333333,0.0,0.9118198874296435,0.8762088974854932,0.33666666666666667,0.314002828854314,0.6633333333333333,707.0,0.005714285714285783,0.0,2100.0,1066.0,1034.0,0.8804075439427868,0.9067240115539228,0.8932855872964666,0.9273967603177634,0.8547311444824962,0.8949016567394229,0.28087469467708476,0.3491412579147572,0.12379110251450677,0.08818011257035648
0.6361645835234012,0.583461719118225,0.583182411889317,0.5970988048535717,0.24601577209869718,0.7227840257513118,0.09229523128133804,0.5048815448062123,-0.2715214361925391,course_1,42,logistic,balanced,none,heldout,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,balanced,none,heldout,MCP,0.9,0.8590476190476191,0.04095238095238096,1.5942857142857143,0.4057142857142857,0.5942857142857143,0.0,0.8230088495575221,0.9010309278350516,0.4057142857142857,0.3474178403755869,0.5942857142857143,426.0,0.04095238095238096,0.0,1050.0,565.0,485.0,0.8366890973180601,0.8787885427851931,0.7893878355479161,0.852267223766339,0.8712207723993458,0.9245382471781737,0.303747842637736,0.3938150672856905,0.09896907216494845,0.17699115044247787
,,,,,,,,,course_1,42,logistic,balanced,none,heldout,EQ,0.9,0.8504761904761905,0.049523809523809526,1.5723809523809524,0.4276190476190476,0.5723809523809524,0.0,0.8123893805309734,0.8948453608247423,0.4276190476190476,0.34966592427616927,0.5723809523809524,449.0,0.049523809523809526,0.0,1050.0,565.0,485.0,0.8276306328279929,0.870766639209135,0.7781283524185871,0.8424311980962953,0.8643734035267476,0.9191116980110159,0.30700193250417745,0.39488048711444185,0.10515463917525773,0.18761061946902655
,,,,,,,,,course_1,42,logistic,balanced,none,heldout,EIQ-batch,0.9,0.9047619047619048,0.004761904761904745,1.681904761904762,0.3180952380952381,0.6819047619047619,0.0,0.9132743362831859,0.8948453608247423,0.3180952380952381,0.2994011976047904,0.6819047619047619,334.0,0.0,0.004761904761904745,1050.0,565.0,485.0,0.8855023335342952,0.9210706029216268,0.8871882500333655,0.9337786340755584,0.8643734035267476,0.9191116980110159,0.25279142842781743,0.3505728227574727,0.10515463917525773,0.08672566371681416
,,,,,,,,,course_1,42,logistic,balanced,none,heldout,EIQ-independent,0.9,0.9047619047619048,0.004761904761904745,1.681904761904762,0.3180952380952381,0.6819047619047619,0.0,0.9132743362831859,0.8948453608247423,0.3180952380952381,0.2994011976047904,0.6819047619047619,334.0,0.0,0.004761904761904745,1050.0,565.0,485.0,0.8855023335342952,0.9210706029216268,0.8871882500333655,0.9337786340755584,0.8643734035267476,0.9191116980110159,0.25279142842781743,0.3505728227574727,0.10515463917525773,0.08672566371681416
0.6414351087418031,0.6239375577299129,0.6085625524388307,0.6086401921897511,0.23692349734345786,0.6731076305561728,0.030338875224818946,0.6543563455142561,0.0037425860606076413,course_1,42,logistic,balanced,platt,full,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,balanced,platt,full,MCP,0.9,0.8580952380952381,0.04190476190476189,1.5761904761904761,0.4238095238095238,0.5761904761904761,0.0,0.8292682926829268,0.8878143133462283,0.4238095238095238,0.3348314606741573,0.5761904761904761,890.0,0.04190476190476189,0.0,2100.0,1066.0,1034.0,0.8425160177098835,0.8723667476687708,0.8055077990508723,0.8506641918661999,0.8671247839087408,0.9056329366310782,0.3045948358374964,0.36648777383704906,0.11218568665377177,0.17073170731707318
,,,,,,,,,course_1,42,logistic,balanced,platt,full,EQ,0.9,0.8471428571428572,0.052857142857142825,1.5504761904761906,0.44952380952380955,0.5504761904761905,0.0,0.8170731707317073,0.8781431334622823,0.44952380952380955,0.3400423728813559,0.5504761904761905,944.0,0.052857142857142825,0.0,2100.0,1066.0,1034.0,0.8311192538272887,0.8618987461209016,0.7927403561851823,0.839128968401628,0.8567926170692767,0.8966943373722923,0.31052553390683163,0.3708557802469628,0.1218568665377176,0.18292682926829268
,,,,,,,,,course_1,42,logistic,balanced,platt,full,EIQ-batch,0.9,0.8942857142857142,0.005714285714285783,1.6633333333333333,0.33666666666666667,0.6633333333333333,0.0,0.9118198874296435,0.8762088974854932,0.33666666666666667,0.314002828854314,0.6633333333333333,707.0,0.005714285714285783,0.0,2100.0,1066.0,1034.0,0.8804075439427868,0.9067240115539228,0.8932855872964666,0.9273967603177634,0.8547311444824962,0.8949016567394229,0.28087469467708476,0.3491412579147572,0.12379110251450677,0.08818011257035648
0.6361645835234012,0.583461719118225,0.6048885834887602,0.6057476507617918,0.23612167862170935,0.6729707590955969,0.03227780054762723,0.6550189331597775,-0.11987580088809875,course_1,42,logistic,balanced,platt,heldout,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
