setting,model,method,metric,balanced,unweighted,delta,minimum,maximum
iid,catboost,MCP,fail_coverage,0.9489795918367347,0.9607142857142857,-0.01173469387755104,-0.05357142857142838,0.04336734693877553
iid,catboost,MCP,automatic_coverage,0.1911214953271028,0.17289719626168223,0.018224299065420557,-0.17990654205607481,0.1121495327102803
iid,catboost,MCP,automatic_error_rate,0.22242643813955829,0.2185834736688667,0.0038429644706916067,-0.031674050301740586,0.028850953379255306
iid,logistic,EIQ-batch,observed_coverage,0.9609813084112149,0.966822429906542,-0.00584112149532714,-0.02570093457943934,0.0
iid,logistic,EIQ-batch,pass_coverage,0.9547413793103446,0.9646551724137931,-0.009913793103448287,-0.04741379310344829,0.0
iid,logistic,EIQ-batch,fail_coverage,0.9683673469387756,0.9693877551020409,-0.001020408163265274,-0.0025510204081632404,0.0
iid,logistic,EIQ-batch,automatic_coverage,0.15724299065420558,0.1450934579439252,0.012149532710280356,-0.002336448598130897,0.054906542056074786
iid,logistic,EIQ-batch,automatic_error_rate,0.24221981580454094,0.22805782777802594,0.014161988026514994,0.0011763058395181936,0.046808510638297884
iid,logistic,EQ,observed_coverage,0.9537383177570093,0.9595794392523365,-0.005841121495327117,-0.02570093457943934,0.0
iid,logistic,EQ,pass_coverage,0.9413793103448274,0.9512931034482758,-0.009913793103448287,-0.04741379310344829,0.0
iid,logistic,EQ,fail_coverage,0.9683673469387756,0.9693877551020409,-0.001020408163265274,-0.0025510204081632404,0.0
iid,logistic,EQ,automatic_coverage,0.17990654205607473,0.16752336448598126,0.01238317757009344,-0.002336448598130897,0.054906542056074786
iid,logistic,EQ,automatic_error_rate,0.2532069881414065,0.24088152581911532,0.012325462322291253,0.0011763058395181936,0.046808510638297884
iid,logistic,MCP,observed_coverage,0.9537383177570093,0.9595794392523365,-0.005841121495327117,-0.02570093457943934,0.0
iid,logistic,MCP,pass_coverage,0.9413793103448274,0.9512931034482758,-0.009913793103448287,-0.04741379310344829,0.0
iid,logistic,MCP,fail_coverage,0.9683673469387756,0.9693877551020409,-0.001020408163265274,-0.0025510204081632404,0.0
iid,logistic,MCP,automatic_coverage,0.17943925233644858,0.16752336448598126,0.011915887850467276,-0.002336448598130897,0.054906542056074786
iid,logistic,MCP,automatic_error_rate,0.25390812749285263,0.24088152581911532,0.013026601673737353,0.0011763058395181936,0.046808510638297884
temporal_1,catboost,EIQ-batch,observed_coverage,0.9063492063492063,0.9187590187590187,-0.012409812409812426,-0.11327561327561331,0.044011544011543946
temporal_1,catboost,EIQ-batch,pass_coverage,0.8828606658446363,0.9183723797780518,-0.03551171393341557,-0.17879161528976584,0.06165228113440202
temporal_1,catboost,EIQ-batch,fail_coverage,0.9394782608695651,0.919304347826087,0.02017391304347822,-0.02086956521739136,0.08869565217391318
temporal_1,catboost,EIQ-batch,automatic_coverage,0.2316017316017316,0.22106782106782102,0.010533910533910515,-0.16305916305916313,0.24025974025974028
temporal_1,catboost,EIQ-batch,automatic_error_rate,0.3798146059630792,0.3684532134755924,0.011361392487486705,-0.097326557666814,0.0837606837606838
temporal_1,catboost,EQ,observed_coverage,0.9323232323232323,0.9468975468975469,-0.014574314574314528,-0.044733044733044736,0.030303030303030387
temporal_1,catboost,EQ,pass_coverage,0.9331689272503082,0.9607891491985203,-0.0276202219482121,-0.10110974106041937,0.06165228113440202
temporal_1,catboost,EQ,fail_coverage,0.9311304347826086,0.9273043478260871,0.003826086956521757,-0.07478260869565201,0.14956521739130446
temporal_1,catboost,EQ,automatic_coverage,0.18441558441558437,0.16551226551226547,0.018903318903318873,-0.0916305916305917,0.11616161616161619
temporal_1,catboost,EQ,automatic_error_rate,0.35539390045438435,0.32838198705663413,0.027011913397750213,-0.097326557666814,0.15468330552129433
temporal_1,catboost,MCP,observed_coverage,0.9572871572871573,0.9591630591630592,-0.0018759018759017866,-0.044011544011543946,0.030303030303030387
temporal_1,catboost,MCP,pass_coverage,0.9526510480887793,0.9607891491985203,-0.008138101109741069,-0.06165228113440191,0.06165228113440202
temporal_1,catboost,MCP,fail_coverage,0.9638260869565217,0.9568695652173913,0.006956521739130439,-0.022608695652173938,0.08869565217391318
