setting,seed,model,class_weight,calibration,bins,ece
course_2,101,catboost,balanced,isotonic,5,0.030778976041632815
course_2,101,catboost,balanced,isotonic,10,0.032458472115124225
course_2,101,catboost,balanced,isotonic,15,0.037314580405722386
course_2,101,catboost,balanced,none,5,0.052721796413489765
course_2,101,catboost,balanced,none,10,0.05272179641348978
course_2,101,catboost,balanced,none,15,0.053232440089829476
course_2,101,catboost,balanced,platt,5,0.040974319185269704
course_2,101,catboost,balanced,platt,10,0.04097431918526973
course_2,101,catboost,balanced,platt,15,0.04376943133786429
course_2,101,catboost,unweighted,isotonic,5,0.029528696534043473
course_2,101,catboost,unweighted,isotonic,10,0.03174070108992348
course_2,101,catboost,unweighted,isotonic,15,0.032923370239339424
course_2,101,catboost,unweighted,none,5,0.036925702574600074
course_2,101,catboost,unweighted,none,10,0.05484538577406827
course_2,101,catboost,unweighted,none,15,0.05919669382133349
course_2,101,catboost,unweighted,platt,5,0.03623694708742094
course_2,101,catboost,unweighted,platt,10,0.03700969153060627
course_2,101,catboost,unweighted,platt,15,0.04164726039132889
course_2,101,logistic,balanced,isotonic,5,0.06273860884249459
course_2,101,logistic,balanced,isotonic,10,0.07400469031028749
course_2,101,logistic,balanced,isotonic,15,0.0737292565587181
course_2,101,logistic,balanced,none,5,0.026773398613335136
course_2,101,logistic,balanced,none,10,0.029934884416154866
course_2,101,logistic,balanced,none,15,0.02758462504952802
course_2,101,logistic,balanced,platt,5,0.024328382210631917
course_2,101,logistic,balanced,platt,10,0.02936710687209386
course_2,101,logistic,balanced,platt,15,0.026417310382017757
course_2,101,logistic,unweighted,isotonic,5,0.06489257308640786
course_2,101,logistic,unweighted,isotonic,10,0.07465422737049955
course_2,101,logistic,unweighted,isotonic,15,0.07521488118759845
course_2,101,logistic,unweighted,none,5,0.031680121254104805
course_2,101,logistic,unweighted,none,10,0.03168012125410483
course_2,101,logistic,unweighted,none,15,0.035638101685414286
course_2,101,logistic,unweighted,platt,5,0.024873528513394805
course_2,101,logistic,unweighted,platt,10,0.030014226456717707
course_2,101,logistic,unweighted,platt,15,0.027503371590627247
iid,7,catboost,balanced,isotonic,5,0.034061456981837025
iid,7,catboost,balanced,isotonic,10,0.03432634557253276
iid,7,catboost,balanced,isotonic,15,0.04602213785656576
iid,7,catboost,balanced,none,5,0.023791242379170966
iid,7,catboost,balanced,none,10,0.03350293206221001
iid,7,catboost,balanced,none,15,0.045086246773248864
iid,7,catboost,balanced,platt,5,0.0212565418024067
iid,7,catboost,balanced,platt,10,0.023390385731623525
iid,7,catboost,balanced,platt,15,0.03822439216598166
iid,7,catboost,unweighted,isotonic,5,0.04762248364271265
iid,7,catboost,unweighted,isotonic,10,0.05053554711042649
iid,7,catboost,unweighted,isotonic,15,0.05275115654623294
iid,7,catboost,unweighted,none,5,0.010182591794916002
iid,7,catboost,unweighted,none,10,0.027263355856092207
iid,7,catboost,unweighted,none,15,0.045637209984584884
iid,7,catboost,unweighted,platt,5,0.027354657943585534
iid,7,catboost,unweighted,platt,10,0.028715398107908182
iid,7,catboost,unweighted,platt,15,0.03589491451837469
iid,7,logistic,balanced,isotonic,5,0.02879754168930298
iid,7,logistic,balanced,isotonic,10,0.03790144509252121
iid,7,logistic,balanced,isotonic,15,0.037886465587225554
iid,7,logistic,balanced,none,5,0.03839174934234815
iid,7,logistic,balanced,none,10,0.040688584378101196
iid,7,logistic,balanced,none,15,0.05013674628661311
iid,7,logistic,balanced,platt,5,0.011492947749915829
iid,7,logistic,balanced,platt,10,0.016299951817866653
iid,7,logistic,balanced,platt,15,0.03427168064235387
iid,7,logistic,unweighted,isotonic,5,0.021918099311552187
iid,7,logistic,unweighted,isotonic,10,0.030286610653341758
iid,7,logistic,unweighted,isotonic,15,0.03050511644657675
iid,7,logistic,unweighted,none,5,0.018850589081261325
iid,7,logistic,unweighted,none,10,0.021028654764326766
iid,7,logistic,unweighted,none,15,0.033048554084423025
iid,7,logistic,unweighted,platt,5,0.01201913897365817
iid,7,logistic,unweighted,platt,10,0.015367335255732343
iid,7,logistic,unweighted,platt,15,0.029365162660329895
iid,19,catboost,balanced,isotonic,5,0.012789720664728523
iid,19,catboost,balanced,isotonic,10,0.019348469707052496
iid,19,catboost,balanced,isotonic,15,0.01975323176960678
iid,19,catboost,balanced,none,5,0.03543808025450472
iid,19,catboost,balanced,none,10,0.0384201671956976
iid,19,catboost,balanced,none,15,0.059700303977931676
iid,19,catboost,balanced,platt,5,0.015530276888163573
iid,19,catboost,balanced,platt,10,0.03065542848645394
iid,19,catboost,balanced,platt,15,0.035876830550080216
iid,19,catboost,unweighted,isotonic,5,0.007204573524695147
iid,19,catboost,unweighted,isotonic,10,0.017459492303558526
iid,19,catboost,unweighted,isotonic,15,0.018836476165588614
iid,19,catboost,unweighted,none,5,0.021933664063066533
iid,19,catboost,unweighted,none,10,0.027800420165330846
iid,19,catboost,unweighted,none,15,0.03975321477658961
iid,19,catboost,unweighted,platt,5,0.02507947644297485
iid,19,catboost,unweighted,platt,10,0.03198084644161437
iid,19,catboost,unweighted,platt,15,0.03922360475669915
iid,19,logistic,balanced,isotonic,5,0.03135754533653196
iid,19,logistic,balanced,isotonic,10,0.03415870799921253
iid,19,logistic,balanced,isotonic,15,0.03731216889013851
iid,19,logistic,balanced,none,5,0.04291962932454053
iid,19,logistic,balanced,none,10,0.04857604391936792
iid,19,logistic,balanced,none,15,0.06451963937691356
iid,19,logistic,balanced,platt,5,0.025799342011029534
iid,19,logistic,balanced,platt,10,0.040806246837379725
iid,19,logistic,balanced,platt,15,0.043488063830749414
iid,19,logistic,unweighted,isotonic,5,0.03151998452005654
iid,19,logistic,unweighted,isotonic,10,0.03347962212027843
iid,19,logistic,unweighted,isotonic,15,0.03292558681548452
iid,19,logistic,unweighted,none,5,0.0228032905939916
iid,19,logistic,unweighted,none,10,0.029981444257526062
iid,19,logistic,unweighted,none,15,0.03667686920911738
iid,19,logistic,unweighted,platt,5,0.02480356630464828
iid,19,logistic,unweighted,platt,10,0.04087123720580552
iid,19,logistic,unweighted,platt,15,0.04207706512803266
iid,42,catboost,balanced,isotonic,5,0.010202904171932783
iid,42,catboost,balanced,isotonic,10,0.01060433397970304
iid,42,catboost,balanced,isotonic,15,0.013780301394019649
iid,42,catboost,balanced,none,5,0.029258015690340727
iid,42,catboost,balanced,none,10,0.03125855762417279
iid,42,catboost,balanced,none,15,0.04271982759382244
iid,42,catboost,balanced,platt,5,0.02743243512575026
iid,42,catboost,balanced,platt,10,0.030982924361359136
iid,42,catboost,balanced,platt,15,0.04782059927908244
iid,42,catboost,unweighted,isotonic,5,0.019249437488712256
iid,42,catboost,unweighted,isotonic,10,0.036411085612986324
iid,42,catboost,unweighted,isotonic,15,0.036411085612986296
iid,42,catboost,unweighted,none,5,0.0147110969417482
iid,42,catboost,unweighted,none,10,0.034871049117210264
iid,42,catboost,unweighted,none,15,0.030370160167893557
iid,42,catboost,unweighted,platt,5,0.037768175329810826
iid,42,catboost,unweighted,platt,10,0.037768175329810846
