setting,model,method,zero_activity,n_test,n_fail,failure_rate,observed_coverage,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,average_set_size,empty_set_rate,ambiguity_rate,n_automatic
temporal_1,catboost,EQ,0,1338.0,546.0,0.4080717488789237,0.9449925261584454,0.9598484848484847,0.9234432234432234,0.17144992526158445,0.32838198705663413,1.8285500747384156,0.0,0.8285500747384156,229.4
temporal_1,catboost,EQ,1,48.0,29.0,0.6041666666666666,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_1,catboost,MCP,0,1338.0,546.0,0.4080717488789237,0.9576980568011958,0.9598484848484847,0.9545787545787545,0.12914798206278028,0.33781215465439945,1.8708520179372197,0.0,0.8708520179372197,172.8
temporal_1,catboost,MCP,1,48.0,29.0,0.6041666666666666,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_1,logistic,EIQ-batch,0,1338.0,546.0,0.4080717488789237,0.9049327354260089,0.9285353535353537,0.8706959706959708,0.3133034379671151,0.3146439903936431,1.6866965620328849,0.0,0.6866965620328849,419.2
temporal_1,logistic,EIQ-batch,1,48.0,29.0,0.6041666666666666,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_1,logistic,EQ,0,1338.0,546.0,0.4080717488789237,0.8988041853512705,0.970959595959596,0.7941391941391942,0.36771300448430494,0.27234213140677016,1.632286995515695,0.0,0.6322869955156951,492.0
temporal_1,logistic,EQ,1,48.0,29.0,0.6041666666666666,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_1,logistic,MCP,0,1338.0,546.0,0.4080717488789237,0.9059790732436472,0.9770202020202021,0.802930402930403,0.34693572496263075,0.2678561834484168,1.653064275037369,0.0,0.6530642750373692,464.2
temporal_1,logistic,MCP,1,48.0,29.0,0.6041666666666666,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_2,catboost,EIQ-batch,0,1385.0,625.0,0.4512635379061372,0.8587725631768952,0.9826315789473684,0.70816,0.44794223826714796,0.2900947781459463,1.552057761732852,0.0,0.552057761732852,620.4
temporal_2,catboost,EIQ-batch,1,14.0,12.0,0.8571428571428571,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_2,catboost,EQ,0,1385.0,625.0,0.4512635379061372,0.8270036101083033,0.9878947368421052,0.63136,0.5361732851985559,0.32162360637328824,1.463826714801444,0.0,0.46382671480144405,742.6
temporal_2,catboost,EQ,1,14.0,12.0,0.8571428571428571,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_2,catboost,MCP,0,1385.0,625.0,0.4512635379061372,0.8270036101083033,0.9878947368421052,0.63136,0.5361732851985559,0.32162360637328824,1.463826714801444,0.0,0.46382671480144405,742.6
temporal_2,catboost,MCP,1,14.0,12.0,0.8571428571428571,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_2,logistic,EIQ-batch,0,1385.0,625.0,0.4512635379061372,0.816028880866426,0.9655263157894737,0.6342399999999999,0.5819494584837546,0.31443170440277934,1.4180505415162454,0.0,0.4180505415162455,806.0
temporal_2,logistic,EIQ-batch,1,14.0,12.0,0.8571428571428571,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_2,logistic,EQ,0,1385.0,625.0,0.4512635379061372,0.8424548736462094,0.9828947368421053,0.67168,0.5188447653429603,0.3022113417068471,1.4811552346570396,0.0,0.4811552346570397,718.6
temporal_2,logistic,EQ,1,14.0,12.0,0.8571428571428571,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
temporal_2,logistic,MCP,0,1385.0,625.0,0.4512635379061372,0.8424548736462094,0.9828947368421053,0.67168,0.5185559566787004,0.3023898220740067,1.4814440433212996,0.0,0.48144404332129964,718.2
temporal_2,logistic,MCP,1,14.0,12.0,0.8571428571428571,1.0,1.0,1.0,0.0,,2.0,0.0,1.0,0.0
