setting,model,calibration,method,observed_coverage,fail_coverage,automatic_error_rate,brier,ece,calibration_slope,calibration_intercept
temporal_2,catboost,isotonic,EIQ-batch,0.8601858470335955,0.713657770800628,0.2900947781459463,,,,
temporal_2,catboost,isotonic,EQ,0.8287348105789849,0.6383045525902669,0.32162360637328824,,,,
temporal_2,catboost,isotonic,MCP,0.8287348105789849,0.6383045525902669,0.32162360637328824,,,,
temporal_2,catboost,isotonic,probability,,,,0.2547139692694224,0.15554385632419615,0.1498798138364516,0.07760181986129132
temporal_2,catboost,none,EIQ-batch,0.8,0.6172684458398744,0.3151921108568294,,,,
temporal_2,catboost,none,EQ,0.7894210150107219,0.576138147566719,0.3264282704148721,,,,
temporal_2,catboost,none,MCP,0.7922802001429593,0.5808477237048666,0.32622750587023697,,,,
temporal_2,catboost,none,probability,,,,0.26063570013356063,0.1808196823496368,0.49917411442135623,0.4637056784242014
temporal_2,catboost,platt,EIQ-batch,0.8,0.6172684458398744,0.3151921108568294,,,,
temporal_2,catboost,platt,EQ,0.7894210150107219,0.576138147566719,0.3264282704148721,,,,
temporal_2,catboost,platt,MCP,0.7922802001429593,0.5808477237048666,0.32622750587023697,,,,
temporal_2,catboost,platt,probability,,,,0.24012524077533454,0.12349906709960598,0.8496997358295559,0.47088454210532865
temporal_2,logistic,isotonic,EIQ-batch,0.8178699070764832,0.6411302982731554,0.3144317044027793,,,,
temporal_2,logistic,isotonic,EQ,0.8440314510364546,0.6778649921507064,0.3022113417068471,,,,
temporal_2,logistic,isotonic,MCP,0.8440314510364546,0.6778649921507064,0.3023898220740067,,,,
temporal_2,logistic,isotonic,probability,,,,0.25464995201481694,0.16037528519642988,0.10416228956781545,0.19153116511952634
temporal_2,logistic,none,EIQ-batch,0.78084345961401,0.5952904238618524,0.3237809269270306,,,,
temporal_2,logistic,none,EQ,0.7979985704074338,0.6034536891679749,0.3202024781159166,,,,
temporal_2,logistic,none,MCP,0.801143674052895,0.6081632653061224,0.3188235875295293,,,,
temporal_2,logistic,none,probability,,,,0.2429670582101104,0.13235449442437566,0.4981509900957466,0.32002453172477313
