roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,model,seed,calibration,kind,n_test,n_train,n_calibrator_fit,n_conformal_score,n_features,features,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,method,alpha,domain_auc,weight_min,weight_median,weight_mean,weight_max,raw_weight_p99,effective_sample_size,weight_cap,ess_class_0,ess_class_1
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.8,0.7952380952380952,0.0047619047619048,1.4114285714285717,0.5885714285714285,0.4114285714285714,0.0,0.8086303939962477,0.781431334622824,0.5885714285714285,0.3478964401294498,0.4114285714285714,1236.0,0.0047619047619048,0.0,1066.0,1034.0,0.7774475110066903,0.8119505136406042,0.7839239779283648,0.8311204238144182,0.7552247966461543,0.8055544968129165,0.3218511674122254,0.374884252003704,0.218568665377176,0.1913696060037523,split_cp,0.2,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.8,0.7504761904761905,0.0495238095238095,1.315238095238095,0.6847619047619048,0.3152380952380952,0.0,0.6641651031894934,0.839458413926499,0.6847619047619048,0.364394993045897,0.3152380952380952,1438.0,0.0495238095238095,0.0,1066.0,1034.0,0.731521944161459,0.768515734813504,0.6352693127111986,0.6918819648115582,0.8158321449909959,0.8605717450575737,0.3399126479121783,0.3895999156126717,0.1605415860735009,0.3358348968105065,mondrian_cp,0.2,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.85,0.8366666666666667,0.0133333333333333,1.511904761904762,0.4880952380952381,0.5119047619047619,0.0,0.8545966228893058,0.8181818181818182,0.4880952380952381,0.3346341463414634,0.5119047619047619,1025.0,0.0133333333333333,0.0,1066.0,1034.0,0.820243686507628,0.8518601899853354,0.8321620107555797,0.8744847486935753,0.7935092641733325,0.8404989404590878,0.3064120133722819,0.364091155902625,0.1818181818181818,0.1454033771106941,split_cp,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.85,0.7923809523809524,0.0576190476190475,1.433809523809524,0.5661904761904762,0.4338095238095238,0.0,0.7298311444652908,0.8568665377176016,0.5661904761904762,0.3666947014297729,0.4338095238095238,1189.0,0.0576190476190475,0.0,1066.0,1034.0,0.7745071247928268,0.8091870480030425,0.7023847944592482,0.7556269940726116,0.8341983440053043,0.8768929250201151,0.3397732595154307,0.3944747433051597,0.1431334622823984,0.2701688555347092,mondrian_cp,0.15,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.9,0.8738095238095238,0.0261904761904762,1.6014285714285714,0.3985714285714286,0.6014285714285714,0.0,0.899624765478424,0.8471953578336557,0.3985714285714286,0.3166069295101553,0.6014285714285714,837.0,0.0261904761904762,0.0,1066.0,1034.0,0.858921193636905,0.887332756924589,0.8801261305341498,0.9162535507498184,0.8239827182577724,0.8678377846693974,0.285993326429308,0.3488962276245835,0.1528046421663443,0.1003752345215759,split_cp,0.1,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.9,0.8580952380952381,0.0419047619047618,1.576190476190476,0.4238095238095238,0.5761904761904761,0.0,0.8292682926829268,0.8878143133462283,0.4238095238095238,0.3348314606741573,0.5761904761904761,890.0,0.0419047619047618,0.0,1066.0,1034.0,0.8425160177098835,0.8723667476687708,0.8055077990508723,0.8506641918661999,0.8671247839087408,0.9056329366310782,0.3045948358374964,0.366487773837049,0.1121856866537717,0.1707317073170731,mondrian_cp,0.1,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.95,0.9123809523809524,0.0376190476190475,1.7119047619047618,0.288095238095238,0.7119047619047619,0.0,0.9362101313320824,0.8878143133462283,0.288095238095238,0.3041322314049586,0.7119047619047619,605.0,0.0376190476190475,0.0,1066.0,1034.0,0.899522808622081,0.9237331419336564,0.9199166104190988,0.9493710698556552,0.8671247839087408,0.9056329366310782,0.2688053062685133,0.341930794950577,0.1121856866537717,0.0637898686679174,split_cp,0.05,0.8973525007487272,,,,,,,,,
,,,,,,,,,course_1,logistic,42,platt,conformal,2100,,,,,,0.95,0.9071428571428573,0.0428571428571428,1.7104761904761905,0.2895238095238095,0.7104761904761905,0.0,0.899624765478424,0.9148936170212766,0.2895238095238095,0.3207236842105263,0.7104761904761905,608.0,0.0428571428571428,0.0,1066.0,1034.0,0.8939753154633203,0.9188235733648038,0.8801261305341498,0.9162535507498184,0.8963120849830735,0.930403780631845,0.284847850779343,0.3588506975011406,0.0851063829787234,0.1003752345215759,mondrian_cp,0.05,0.8973525007487272,,,,,,,,,
0.640492486237167,0.6117059343126845,0.6114282189825115,0.6115560619971622,0.2424255121785337,0.829128836018747,0.0624098613044985,0.2711460234504911,-0.0395690407347236,course_1,logistic,42,isotonic,probability,2100,1635.0,272.0,273.0,25.0,total_clicks|active_days|active_weeks|num_sessions|night_activity_ratio|weekend_activity_ratio|material_clicks|assessment_clicks|forum_accesses|grade_page_accesses|main_page_accesses|unique_content|total_session_minutes|median_session_minutes|clicks_per_session|sessions_per_active_day|active_day_fraction|zero_activity|days_since_last_activity|days_to_first_activity|actions_week_1|actions_week_2|actions_week_3|actions_week_4|forum_posts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,logistic,42,isotonic,conformal,2100,,,,,,0.8,0.8014285714285714,0.0014285714285713,1.4228571428571428,0.5771428571428572,0.4228571428571429,0.0,0.8161350844277674,0.7862669245647969,0.5771428571428572,0.344059405940594,0.4228571428571429,1212.0,0.0,0.0014285714285713,1066.0,1034.0,0.7838229138567019,0.8179334564686811,0.7917598700057129,0.8382400187095389,0.7602444380060153,0.8101702385021802,0.3178446464584621,0.3712595560198433,0.2137330754352031,0.1838649155722326,split_cp,0.2,0.8973525007487272,,,,,,,,,
