policy,automatic_coverage,automatic_error_rate,automatic_false_negative_fraction,automatic_false_positive_fraction,expected_n_automatic,setting,model,seed,calibration,matched_method
random,0.8,0.375229357798165,0.4856835306781487,0.1624300559552358,1743.9999999999998,course_2,logistic,42,platt,fixed_budget
confidence,0.2,0.2412844036697247,0.1097954790096878,0.0025579536370903,436.0,course_2,logistic,42,isotonic,fixed_budget
random,0.2,0.3720183486238531,0.1177610333692142,0.0422062350119904,436.0,course_2,logistic,42,isotonic,fixed_budget
confidence,0.4,0.2957248141223531,0.2506695779490763,0.0199840127897681,872.0,course_2,logistic,42,isotonic,fixed_budget
random,0.4,0.3720183486238531,0.2355220667384285,0.0844124700239808,871.9999999999999,course_2,logistic,42,isotonic,fixed_budget
confidence,0.6,0.3286169308553052,0.3358449946178686,0.0941894049230529,1308.0,course_2,logistic,42,isotonic,fixed_budget
random,0.6,0.3720183486238536,0.3532831001076427,0.1266187050359712,1308.0,course_2,logistic,42,isotonic,fixed_budget
confidence,0.8,0.3515266628440367,0.3778928955866523,0.2094324540367705,1744.0,course_2,logistic,42,isotonic,fixed_budget
random,0.8,0.3720183486238531,0.471044133476857,0.1688249400479616,1743.9999999999998,course_2,logistic,42,isotonic,fixed_budget
confidence,0.3009174311926605,0.2698170731707317,0.1636167922497308,0.0199840127897681,656.0,course_2,logistic,42,isotonic,split_cp
random,0.3009174311926605,0.372018348623853,0.1771817382802855,0.0635029591006094,656.0,course_2,logistic,42,isotonic,split_cp
singleton,0.3009174311926605,0.2698170731707317,0.1636167922497308,0.0199840127897681,656.0,course_2,logistic,42,isotonic,split_cp
confidence,0.0798165137614679,0.2517009757086192,0.0449902796268027,0.0015987210231814,174.0,course_2,logistic,42,isotonic,mondrian_cp
random,0.0798165137614679,0.3720183486238528,0.0469963757023928,0.0168437726882714,174.00000000000006,course_2,logistic,42,isotonic,mondrian_cp
singleton,0.0798165137614679,0.3793103448275862,0.0096878363832077,0.0455635491606714,174.0,course_2,logistic,42,isotonic,mondrian_cp
confidence,0.2646788990825688,0.2619194398241308,0.1368433980393148,0.0191846522781774,577.0,course_2,logistic,42,isotonic,empirical_mondrian
random,0.2646788990825688,0.3720183486238527,0.1558443033349461,0.0558554990869689,577.0,course_2,logistic,42,isotonic,empirical_mondrian
singleton,0.2646788990825688,0.2755632582322357,0.1097954790096878,0.0455635491606714,577.0,course_2,logistic,42,isotonic,empirical_mondrian
confidence,0.0798165137614679,0.2517009757086192,0.0449902796268027,0.0015987210231814,174.0,course_2,logistic,42,isotonic,weighted_cap5
random,0.0798165137614679,0.3720183486238528,0.0469963757023928,0.0168437726882714,174.00000000000006,course_2,logistic,42,isotonic,weighted_cap5
singleton,0.0798165137614679,0.3793103448275862,0.0096878363832077,0.0455635491606714,174.0,course_2,logistic,42,isotonic,weighted_cap5
confidence,0.2646788990825688,0.2619194398241308,0.1368433980393148,0.0191846522781774,577.0,course_2,logistic,42,isotonic,weighted_cap10
random,0.2646788990825688,0.3720183486238527,0.1558443033349461,0.0558554990869689,577.0,course_2,logistic,42,isotonic,weighted_cap10
singleton,0.2646788990825688,0.2755632582322357,0.1097954790096878,0.0455635491606714,577.0,course_2,logistic,42,isotonic,weighted_cap10
confidence,0.2646788990825688,0.2619194398241308,0.1368433980393148,0.0191846522781774,577.0,course_2,logistic,42,isotonic,weighted_cap20
random,0.2646788990825688,0.3720183486238527,0.1558443033349461,0.0558554990869689,577.0,course_2,logistic,42,isotonic,weighted_cap20
singleton,0.2646788990825688,0.2755632582322357,0.1097954790096878,0.0455635491606714,577.0,course_2,logistic,42,isotonic,weighted_cap20
confidence,0.2646788990825688,0.2619194398241308,0.1368433980393148,0.0191846522781774,577.0,course_2,logistic,42,isotonic,weighted_p99
random,0.2646788990825688,0.3720183486238527,0.1558443033349461,0.0558554990869689,577.0,course_2,logistic,42,isotonic,weighted_p99
singleton,0.2646788990825688,0.2755632582322357,0.1097954790096878,0.0455635491606714,577.0,course_2,logistic,42,isotonic,weighted_p99
confidence,0.2,0.4036697247706422,0.10010764262648,0.0663469224620303,436.0,course_2,catboost,42,none,fixed_budget
random,0.2,0.4412844036697244,0.0949407965554359,0.0832933653077538,436.0,course_2,catboost,42,none,fixed_budget
confidence,0.4,0.4151376146788991,0.1991388589881593,0.1414868105515587,872.0,course_2,catboost,42,none,fixed_budget
random,0.4,0.4412844036697244,0.1898815931108719,0.1665867306155076,871.9999999999999,course_2,catboost,42,none,fixed_budget
confidence,0.6,0.4166666666666667,0.2755651237890204,0.2310151878497202,1308.0,course_2,catboost,42,none,fixed_budget
random,0.6,0.4412844036697253,0.2848223896663078,0.2498800959232614,1308.0,course_2,catboost,42,none,fixed_budget
confidence,0.8,0.4283256880733945,0.3702906350914962,0.3221422861710631,1744.0,course_2,catboost,42,none,fixed_budget
random,0.8,0.4412844036697244,0.3797631862217439,0.3331734612310153,1743.9999999999998,course_2,catboost,42,none,fixed_budget
confidence,0.2,0.4082568807339449,0.0936490850376749,0.0727418065547561,436.0,course_2,catboost,42,platt,fixed_budget
random,0.2,0.438990825688073,0.091280947255113,0.0852118305355715,436.0,course_2,catboost,42,platt,fixed_budget
confidence,0.4,0.4151376146788991,0.1905274488697524,0.1478816946442845,872.0,course_2,catboost,42,platt,fixed_budget
random,0.4,0.438990825688073,0.1825618945102261,0.1704236610711431,871.9999999999999,course_2,catboost,42,platt,fixed_budget
confidence,0.6,0.4204892966360856,0.2648008611410118,0.2430055955235811,1308.0,course_2,catboost,42,platt,fixed_budget
random,0.6,0.4389908256880739,0.2738428417653391,0.2556354916067146,1308.0,course_2,catboost,42,platt,fixed_budget
confidence,0.8,0.4323394495412844,0.3584499461786867,0.3365307753796962,1744.0,course_2,catboost,42,platt,fixed_budget
random,0.8,0.438990825688073,0.3651237890204523,0.3408473221422863,1743.9999999999998,course_2,catboost,42,platt,fixed_budget
confidence,0.2,0.3754300458715596,0.1173304628632938,0.0437150279776179,436.0,course_2,catboost,42,isotonic,fixed_budget
