setting,model,calibration,method,course,seed,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction,review_fraction
temporal_1,logistic,platt,MCP,Accountancy,19,0.9,0.8794326241134752,0.020567375886524797,1.5872340425531914,0.4127659574468085,0.5872340425531914,0.0,0.9437340153452686,0.7993630573248408,0.4127659574468085,0.2920962199312715,0.5872340425531914,291,0.020567375886524797,0.0,705,391,314,0.8533171159333297,0.9014355771302001,0.9162812959143202,0.9625524543114384,0.7515693893561906,0.8399204707065826,0.2428299761890058,0.3467799772959098,0.20063694267515925,0.056265984654731455,0.5872340425531914
temporal_1,logistic,platt,MCP,Accountancy,42,0.9,0.924822695035461,0.024822695035460973,1.7333333333333334,0.26666666666666666,0.7333333333333333,0.0,0.9360613810741688,0.910828025477707,0.26666666666666666,0.28191489361702127,0.7333333333333333,188,0.0,0.024822695035460973,705,391,314,0.902973456574601,0.9420674091170893,0.9073180521714027,0.9563197254279739,0.8741406477789979,0.9375847984773609,0.22246388711083145,0.3500998303250237,0.08917197452229299,0.0639386189258312,0.7333333333333334
temporal_1,logistic,platt,MCP,Accountancy,73,0.9,0.9290780141843972,0.02907801418439715,1.699290780141844,0.300709219858156,0.699290780141844,0.0,0.9744245524296675,0.8726114649681529,0.300709219858156,0.2358490566037736,0.699290780141844,212,0.0,0.02907801418439715,705,391,314,0.9077132806149898,0.9457921012605907,0.9535678949280253,0.9860497458032613,0.831178681669236,0.905037420749322,0.18372020640012682,0.2973804097097666,0.12738853503184713,0.02557544757033248,0.699290780141844
temporal_1,logistic,platt,MCP,Accountancy,101,0.9,0.9290780141843972,0.02907801418439715,1.7163120567375887,0.28368794326241137,0.7163120567375887,0.0,0.9539641943734015,0.8980891719745223,0.28368794326241137,0.25,0.7163120567375887,200,0.0,0.02907801418439715,705,391,314,0.9077132806149898,0.9457921012605907,0.9284104505187406,0.9706845965421939,0.8596723562565116,0.9268833087205803,0.19508168006817497,0.31434098312045833,0.10191082802547771,0.04603580562659847,0.7163120567375887
temporal_1,logistic,platt,MCP,Global economics,7,0.9,0.8370044052863436,0.06299559471365646,1.4831130690161527,0.5168869309838473,0.4831130690161527,0.0,0.919047619047619,0.7049808429118773,0.5168869309838473,0.3153409090909091,0.4831130690161527,352,0.06299559471365646,0.0,681,420,261,0.8073861886376493,0.8628419263342507,0.8890058266951069,0.9414933910534649,0.647002384483695,0.757012910087093,0.2690154765280454,0.36565328739047814,0.2950191570881226,0.08095238095238096,0.4831130690161527
temporal_1,logistic,platt,MCP,Global economics,19,0.9,0.8237885462555066,0.07621145374449345,1.4419970631424377,0.5580029368575624,0.4419970631424376,0.0,0.9119047619047619,0.6819923371647509,0.5580029368575624,0.3157894736842105,0.4419970631424376,380,0.07621145374449345,0.0,681,420,261,0.7933795794372203,0.8505650800455857,0.880931016885516,0.935411964196887,0.623203312940043,0.735501855136825,0.27109512879110387,0.3641709510374461,0.31800766283524906,0.0880952380952381,0.4419970631424376
temporal_1,logistic,platt,MCP,Global economics,42,0.9,0.8575624082232012,0.042437591776798844,1.5330396475770924,0.4669603524229075,0.5330396475770925,0.0,0.9285714285714286,0.7432950191570882,0.4669603524229075,0.3050314465408805,0.5330396475770925,318,0.042437591776798844,0.0,681,420,261,0.8293043208876101,0.8818091692895476,0.8998630370759932,0.9495111628941371,0.6870397291901007,0.7924924428705544,0.257003144054816,0.3577139888640865,0.2567049808429119,0.07142857142857142,0.5330396475770924
temporal_1,logistic,platt,MCP,Global economics,73,0.9,0.8414096916299559,0.058590308370044086,1.487518355359765,0.5124816446402349,0.48751835535976507,0.0,0.9523809523809523,0.6628352490421456,0.5124816446402349,0.30945558739255014,0.48751835535976507,349,0.058590308370044086,0.0,681,420,261,0.8120690095998845,0.8669202572017137,0.9275962662742786,0.9689653892497477,0.6034894401213049,0.7174572892106297,0.26325149614287424,0.3598086724537317,0.3371647509578544,0.047619047619047616,0.48751835535976507
temporal_1,logistic,platt,MCP,Global economics,101,0.9,0.8663729809104258,0.03362701908957422,1.5301027900146842,0.4698972099853157,0.5301027900146843,0.0,0.9380952380952381,0.7509578544061303,0.4698972099853157,0.284375,0.5301027900146843,320,0.03362701908957422,0.0,681,420,261,0.8387520416752392,0.8898837521613145,0.9108414891322402,0.9574076930594485,0.6951073289209553,0.7995282186376731,0.2377335802881249,0.3361319757078774,0.24904214559386972,0.06190476190476191,0.5301027900146843
temporal_2,catboost,isotonic,EIQ-batch,Accountancy,7,0.9,0.7275242047026279,0.17247579529737211,1.1507607192254494,0.8492392807745505,0.1507607192254495,0.0,0.9978118161925602,0.2631578947368421,0.8492392807745505,0.32084690553745926,0.1507607192254495,614,0.17247579529737211,0.0,723,457,266,0.6939313732258034,0.758712041658379,0.9877107361507956,0.9996136273393242,0.2138816082258192,0.31917754231885215,0.28513593800027937,0.35878565894155534,0.7368421052631579,0.002188183807439825,0.15076071922544954
