setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
iid,pooled,logistic,EQ,review_fraction,0.8200934579439252,0.7992932242990654,0.8401927570093457,856,392,154.0,71,235,2000
iid,pooled,logistic,EQ,singleton_error,0.2532069881414066,0.19221691754013392,0.31593466505703405,856,392,154.0,71,235,2000
iid,pooled,logistic,EQ,missed_failure,0.03163265306122449,0.018525921411157324,0.046875194825436416,856,392,154.0,71,235,2000
iid,pooled,logistic,MCP,coverage,0.9537383177570093,0.9418224299065422,0.9649532710280372,856,392,153.6,71,235,2000
iid,pooled,logistic,MCP,fail_coverage,0.9683673469387756,0.9531248051745635,0.9814740785888427,856,392,153.6,71,235,2000
iid,pooled,logistic,MCP,automatic_coverage,0.17943925233644858,0.1593457943925234,0.20023364485981307,856,392,153.6,71,235,2000
iid,pooled,logistic,MCP,review_fraction,0.8205607476635515,0.7997663551401869,0.8406542056074766,856,392,153.6,71,235,2000
iid,pooled,logistic,MCP,singleton_error,0.25390812749285263,0.19265346428396735,0.31655100114232354,856,392,153.6,71,235,2000
iid,pooled,logistic,MCP,missed_failure,0.03163265306122449,0.018525921411157324,0.046875194825436416,856,392,153.6,71,235,2000
temporal_1,pooled,catboost,EIQ-batch,coverage,0.9187590187590188,0.9096681096681095,0.9279978354978357,1386,575,306.4,219,407,2000
temporal_1,pooled,catboost,EIQ-batch,fail_coverage,0.9193043478260869,0.9053343222200295,0.9317077375946172,1386,575,306.4,219,407,2000
temporal_1,pooled,catboost,EIQ-batch,automatic_coverage,0.22106782106782108,0.20735930735930735,0.2342027417027417,1386,575,306.4,219,407,2000
temporal_1,pooled,catboost,EIQ-batch,review_fraction,0.7789321789321789,0.7657972582972583,0.7926406926406926,1386,575,306.4,219,407,2000
temporal_1,pooled,catboost,EIQ-batch,singleton_error,0.3684532134755924,0.3318823536782897,0.4053821984112374,1386,575,306.4,219,407,2000
temporal_1,pooled,catboost,EIQ-batch,missed_failure,0.08069565217391304,0.06829226240538266,0.09466567777997056,1386,575,306.4,219,407,2000
temporal_1,pooled,catboost,EQ,coverage,0.9468975468975469,0.9392496392496392,0.9542604617604618,1386,575,229.4,39,358,2000
temporal_1,pooled,catboost,EQ,fail_coverage,0.9273043478260871,0.9139253315891944,0.9396589184060722,1386,575,229.4,39,358,2000
temporal_1,pooled,catboost,EQ,automatic_coverage,0.1655122655122655,0.15353535353535355,0.17763708513708512,1386,575,229.4,39,358,2000
temporal_1,pooled,catboost,EQ,review_fraction,0.8344877344877345,0.8223629148629149,0.8464646464646465,1386,575,229.4,39,358,2000
temporal_1,pooled,catboost,EQ,singleton_error,0.32838198705663413,0.2772126954920618,0.3790866532066277,1386,575,229.4,39,358,2000
temporal_1,pooled,catboost,EQ,missed_failure,0.07269565217391304,0.06034108159392789,0.08607466841080554,1386,575,229.4,39,358,2000
temporal_1,pooled,catboost,MCP,coverage,0.9591630591630592,0.9528102453102452,0.9656565656565655,1386,575,172.8,39,279,2000
temporal_1,pooled,catboost,MCP,fail_coverage,0.9568695652173914,0.947068167312412,0.9659300701506836,1386,575,172.8,39,279,2000
temporal_1,pooled,catboost,MCP,automatic_coverage,0.12467532467532468,0.11399350649350648,0.13521284271284267,1386,575,172.8,39,279,2000
