setting,model,method,seed,n,n_fail,correct,wrong,deferred,detected,missed,fail_deferred
course_2,logistic,EIQ-batch,42,2180,929,0.19174311926605506,0.07293577981651377,0.7353211009174312,0.09364908503767493,0.10979547900968784,0.7965554359526372
course_2,logistic,EIQ-batch,73,2180,929,0.13486238532110092,0.04220183486238532,0.8229357798165138,0.05597416576964478,0.07642626480086114,0.8675995694294941
course_2,logistic,EIQ-batch,101,2180,929,0.26376146788990823,0.11146788990825689,0.6247706422018349,0.14639397201291712,0.17115177610333693,0.682454251883746
course_2,logistic,EQ,7,2180,929,0.22064220183486238,0.0853211009174312,0.6940366972477064,0.061356297093649086,0.15823466092572658,0.7804090419806243
course_2,logistic,EQ,19,2180,929,0.17889908256880735,0.06100917431192661,0.7600917431192661,0.05705059203444564,0.11194833153928956,0.8310010764262648
course_2,logistic,EQ,42,2180,929,0.19174311926605506,0.07293577981651377,0.7353211009174312,0.09364908503767493,0.10979547900968784,0.7965554359526372
course_2,logistic,EQ,73,2180,929,0.21834862385321102,0.07385321100917432,0.7077981651376147,0.05597416576964478,0.15069967707212056,0.7933261571582346
course_2,logistic,EQ,101,2180,929,0.22247706422018348,0.0834862385321101,0.6940366972477064,0.04951560818083961,0.17115177610333693,0.7793326157158235
course_2,logistic,MCP,7,2180,929,0.22064220183486238,0.0853211009174312,0.6940366972477064,0.061356297093649086,0.15823466092572658,0.7804090419806243
course_2,logistic,MCP,19,2180,929,0.17889908256880735,0.06100917431192661,0.7600917431192661,0.05705059203444564,0.11194833153928956,0.8310010764262648
course_2,logistic,MCP,42,2180,929,0.04954128440366973,0.030275229357798167,0.9201834862385321,0.09364908503767493,0.00968783638320775,0.8966630785791173
course_2,logistic,MCP,73,2180,929,0.21834862385321102,0.07385321100917432,0.7077981651376147,0.05597416576964478,0.15069967707212056,0.7933261571582346
course_2,logistic,MCP,101,2180,929,0.22247706422018348,0.0834862385321101,0.6940366972477064,0.04951560818083961,0.17115177610333693,0.7793326157158235
iid,catboost,EIQ-batch,7,856,392,0.12266355140186916,0.03154205607476635,0.8457943925233645,0.10204081632653061,0.030612244897959183,0.8673469387755102
iid,catboost,EIQ-batch,19,856,392,0.07593457943925233,0.02219626168224299,0.9018691588785047,0.13010204081632654,0.00510204081632653,0.8647959183673469
iid,catboost,EIQ-batch,42,856,392,0.0969626168224299,0.02219626168224299,0.8808411214953271,0.0,0.04846938775510204,0.951530612244898
iid,catboost,EIQ-batch,73,856,392,0.2383177570093458,0.0689252336448598,0.6927570093457944,0.2576530612244898,0.06377551020408163,0.6785714285714286
iid,catboost,EIQ-batch,101,856,392,0.13901869158878505,0.04672897196261682,0.8142523364485982,0.15051020408163265,0.04846938775510204,0.8010204081632653
iid,catboost,EQ,7,856,392,0.12266355140186916,0.03154205607476635,0.8457943925233645,0.10204081632653061,0.030612244897959183,0.8673469387755102
iid,catboost,EQ,19,856,392,0.07593457943925233,0.02219626168224299,0.9018691588785047,0.13010204081632654,0.00510204081632653,0.8647959183673469
iid,catboost,EQ,42,856,392,0.0969626168224299,0.02219626168224299,0.8808411214953271,0.0,0.04846938775510204,0.951530612244898
iid,catboost,EQ,73,856,392,0.2383177570093458,0.0689252336448598,0.6927570093457944,0.2576530612244898,0.06377551020408163,0.6785714285714286
iid,catboost,EQ,101,856,392,0.13901869158878505,0.04672897196261682,0.8142523364485982,0.15051020408163265,0.04846938775510204,0.8010204081632653
iid,catboost,MCP,7,856,392,0.12266355140186916,0.03154205607476635,0.8457943925233645,0.10204081632653061,0.030612244897959183,0.8673469387755102
iid,catboost,MCP,19,856,392,0.07593457943925233,0.02219626168224299,0.9018691588785047,0.13010204081632654,0.00510204081632653,0.8647959183673469
iid,catboost,MCP,42,856,392,0.0969626168224299,0.02219626168224299,0.8808411214953271,0.0,0.04846938775510204,0.951530612244898
iid,catboost,MCP,73,856,392,0.2383177570093458,0.0689252336448598,0.6927570093457944,0.2576530612244898,0.06377551020408163,0.6785714285714286
iid,catboost,MCP,101,856,392,0.13901869158878505,0.04672897196261682,0.8142523364485982,0.15051020408163265,0.04846938775510204,0.8010204081632653
iid,logistic,EIQ-batch,7,856,392,0.19742990654205608,0.07710280373831775,0.7254672897196262,0.2602040816326531,0.04846938775510204,0.6913265306122449
iid,logistic,EIQ-batch,19,856,392,0.09579439252336448,0.030373831775700934,0.8738317757009346,0.10714285714285714,0.02806122448979592,0.8647959183673469
iid,logistic,EIQ-batch,42,856,392,0.05957943925233645,0.017523364485981307,0.9228971962616822,0.08418367346938775,0.00510204081632653,0.9107142857142857
iid,logistic,EIQ-batch,73,856,392,0.17523364485981308,0.05023364485981308,0.7745327102803738,0.1989795918367347,0.04336734693877551,0.7576530612244898
iid,logistic,EIQ-batch,101,856,392,0.0630841121495327,0.01985981308411215,0.9170560747663551,0.03826530612244898,0.03316326530612245,0.9285714285714286
iid,logistic,EQ,7,856,392,0.19742990654205608,0.07710280373831775,0.7254672897196262,0.2602040816326531,0.04846938775510204,0.6913265306122449
iid,logistic,EQ,19,856,392,0.09579439252336448,0.030373831775700934,0.8738317757009346,0.10714285714285714,0.02806122448979592,0.8647959183673469
